id,title,price,location,post_time_str,scraped_at,link,image_url
1413686136644219,"iphone 13 pro max unlocked 256GB M1K3 in Boca Raton, FL",$99,,22 hours ago,2025-06-19T09:14:27.918683,https://web.facebook.com/marketplace/item/1413686136644219/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/506922435_747577104608845_4724750150922903544_n.jpg?stp=dst-jpg_p720x720_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=HFGdchH7YcUQ7kNvwFYOtWL&_nc_oc=AdkOT5wlM6MwA5M0Yh9uM_klZTIThaJZ32UrUCQOieyQatmAeP_QD73xoc7_Cv71zls&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=Z_sxMJiheFa_UQPCcTedFg&oh=00_AfNxOJAn3D33Z5YZstoTNofIW1Z-SmkU_sM_XrLTMRXQcQ&oe=6859A46C']
749161847679457,"iPhone 13 Pro Max 128g UNLOCKED R3OA in Plantation, FL",$101,,a day ago,2025-06-19T09:14:35.556962,https://web.facebook.com/marketplace/item/749161847679457/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/508458219_702359572719258_5095173812901092519_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_ohc=QDoGXpLA5BEQ7kNvwE-eqem&_nc_oc=AdlLOwBmOEpM7CvuxJg8GpNOjwc8Xz0mphPr7t7WN1ofmkfOAntG5cJVnfLAbudUDN8&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=uKV8WIgWfE36yrsq3-UJcw&oh=00_AfMAXA8RwXkYd_57sKyx8MG5-cgQX9UAPU3MkD5MpX6Obw&oe=6859B0D4']
1405480837366480,"Apple iPhone 13 Mini 128 GB in Pink Carrier Unlocked QU8T in Delray Beach, FL",$102,,a day ago,2025-06-19T09:14:42.680389,https://web.facebook.com/marketplace/item/1405480837366480/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508453772_1055223946572978_4526942621354975510_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=E7ulIn0IRwkQ7kNvwFJQYAs&_nc_oc=Adldip8AgCUAMM2VfPiJTd-V6OtJqATqyjRlc6T5cnTvfLKj-2019p_3AU1JlF-x1dg&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=5DOqWJbBXdaaQqN7JNsWog&oh=00_AfMCVtXb9U2p_tyd_u4ETvh-vsSllNr3rJnGc9W0jGsMUw&oe=6859B41C']
707460652150124,"Apple iPhone 13 Pro Max 256 GB Unlocked CAX9 in Lauderdale Lakes, FL",$99,,a day ago,2025-06-19T09:15:03.956004,https://web.facebook.com/marketplace/item/707460652150124/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/508773894_1481230616366726_852166358634207995_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_ohc=c08chbkQyeUQ7kNvwE9qVwO&_nc_oc=AdkTo3nwltIEjAxBaP8FSNEeNi_6wtNi7FOYpsGw_3FMrQUtDaUNA8INtxUqTyZJyo4&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=tMwFksjEM3D6QJ3HnGpccg&oh=00_AfP0PTc51VtgF432c4n8CCv5Mqgg3vCU1NowPY-xaJff2w&oe=6859B5A6']
604781375463573,"iPhone 13 Pro Max 256gb Sierra Blue Carrier Unlocked ZDV7 in Homestead, FL",$98,,a day ago,2025-06-19T09:15:11.357606,https://web.facebook.com/marketplace/item/604781375463573/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508473216_637415449351413_131217044279583986_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=eV6yJ5ZQhrsQ7kNvwEEhNRx&_nc_oc=AdkV0j92dMGut9BP1y4G2DuyhY2aj5QGLNpmXvdOOnckFrpQoEeOoEgjuJ8v_4LiPo4&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=bo7Z34exFH7AyS9QefIMVQ&oh=00_AfNZWuZ7Abw2oue7l_tAxP5nFqiy9Bdm_x0ZRpN6uHhk3w&oe=68599C15']
620798940349025,"iPhone 13 CUL7 in Pembroke Pines, FL",$102,,a day ago,2025-06-19T09:15:18.892088,https://web.facebook.com/marketplace/item/620798940349025/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508195565_736519825568958_2421198450277360219_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=YS1jJYDhW0YQ7kNvwGeisPf&_nc_oc=AdnVa4O-6w_omxiWni9Qnf3WlPb39CaSVpS0YqMMDZ8TnZG6vsb21_Y7CelFb7VmIgI&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=kk1Okzn_x9cEqDetpghs9A&oh=00_AfNxIki3sbEB4ZlNoTeAWXwCkv6FoJlhps_r3gkjUBeUPw&oe=685997BB']
1650933265567577,"Apple iPhone 13 128GB (Unlocked) in Pompano Beach, FL",$260,,a day ago,2025-06-19T09:15:28.412738,https://web.facebook.com/marketplace/item/1650933265567577/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/508720090_1752123462345444_4976396465999286528_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=zMJ4UXULPtgQ7kNvwHlTNKB&_nc_oc=AdmaRj55WQc4fCvFLNX8SbZurEpHRHxKNa_UiIZdl_E42CBpEkNefUC_gcl1XGvKJtY&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=YnPRIMDvDDPXHPeRdHxnrg&oh=00_AfNBnpMsD0Xk1i_NWwuT1CNTQGmSPWBARf7pkH_jRzx26g&oe=6859A760']
780559791166537,"Iphone13 in Miami, FL",$200,,a day ago,2025-06-19T09:15:36.622544,https://web.facebook.com/marketplace/item/780559791166537/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/491880461_850462663953294_5866432390396791588_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=b6JI9zzS0VgQ7kNvwG63dE-&_nc_oc=AdmIKrcuE41ELtX6nBjpnUcQJ5mQGXl2bzIVmtRKYJXc-wOpIkdcnkS-Wl4fIdAnEJ8&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=y0U-XkWL9LPFXc_rL2tjGA&oh=00_AfOOtU8F2Fg0KNlSgMMbe7JLPehUfjUSu8DqaybThN6diQ&oe=6859B230']
1699773164233366,"iPhone 13 in Miami, FL",$380,,a day ago,2025-06-19T09:15:44.306815,https://web.facebook.com/marketplace/item/1699773164233366/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508462945_1194518139138074_1522318214758770215_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=1AUBUOEQGHoQ7kNvwFPcCym&_nc_oc=AdnT9Yz6qdax3x34OsiCwKhrGjQTTDUsJJx_kCbRCxoyGLu4-oR-KtXvdGOfWmnRk7M&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=1y0mEdkGUWqOiBsO9Cs0NA&oh=00_AfMTPT_5ivPVzZNUInHHs5nB4wfNUVjXcPk2Ih7ymy2HVg&oe=68597DB9']
1184754073400382,"Unlocked iPhone 13 Pro Max 1 TB 100% battery grey in Sunrise, FL",$550,,a day ago,2025-06-19T09:15:51.672740,https://web.facebook.com/marketplace/item/1184754073400382/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/507205664_1276037223948275_2198409558060569467_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=lqz-S78hTFQQ7kNvwEZGy6x&_nc_oc=Adl5mN1CvQvSSG_AZehx3ss0cltulEECYHjqG3iW2rbb_vxUdzQH26rn2Ds-504Hozo&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=qRPpebBsW32AzPkRLjpN8w&oh=00_AfNC1neYZnBC2CpxqP1sAzNuI0QMDpTWq1j4itY_C-n06g&oe=685998A6']
1880620499382444,"iPhone 13 Pro Max M5U8 in Lauderdale Lakes, FL",$100,,a day ago,2025-06-19T09:15:59.280845,https://web.facebook.com/marketplace/item/1880620499382444/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/506838908_1097582518902683_2017442677774718077_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=WVV7qrl_A6AQ7kNvwFzxPKa&_nc_oc=AdmITmF3gNcyGu9iFOWBH1Yhdo9Hw97e05g4IJtdBOeaFtS2WV3DK_s9iuLXUDHHBAk&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=zJJ8PTMEcjZXRVPJoJvPUw&oh=00_AfMhM50MWLnB3mqK-1G5P0TDse4jfTvYX8WdieFYA8lmRA&oe=68599207']
1698775424093219,"Apple iPhone 13 128 GB in Blue FB7U in North Miami, FL",$100,,a day ago,2025-06-19T09:16:14.732881,https://web.facebook.com/marketplace/item/1698775424093219/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/509296816_1355811845478899_7414805872630566900_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=GFoVyn33hEsQ7kNvwFxpjNx&_nc_oc=AdlfS95wIvVMqPgIx7natO0MVS8e5yzMTFPRhJw5pAr1qr8l2zySszEg4sn0phQG-eE&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=Eumsv9mh9_OYYz27zmLrCQ&oh=00_AfNVK-aqJ3sgbGZJ3kpTi2xDviYjQBcNMAuBK08P7TpI2w&oe=6859ACAE']
573829355786550,"iPhone 13 Green 128gb unlocked GREAT CONDITION ZF1B in Pompano Beach, FL",$100,,a day ago,2025-06-19T09:16:22.648989,https://web.facebook.com/marketplace/item/573829355786550/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/508040413_1921749355231225_3732812686558419944_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_ohc=JED4SP0eB2cQ7kNvwH_I2Ov&_nc_oc=AdkmvVF_C6IUA63cjKiLzmiR2-aKWBcILs3RxQXhrfGpbGXbXlZ-EpXsNBgNS7mpwmg&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=OuTtv83Eles2yGJ76NAgfw&oh=00_AfPlSeIWxGebtRQa8ueNkoJbN_wbie5VfiJIhev3860tqg&oe=6859B2EA']
1209348310519179,"Apple iPhone 13 Mini Midnight Unlocked Pristine Condition CQ6S in Hialeah, FL",$100,,a day ago,2025-06-19T09:16:29.642595,https://web.facebook.com/marketplace/item/1209348310519179/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/508862766_1947586519427561_1723818797918588246_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_ohc=DYR-DSJWhngQ7kNvwG6-j07&_nc_oc=Adk8DASArjskyehlp7JihzFFoGp8eKXAuRXxBDiMU9_Z0RP9H2V3j90kigXr3Yh-PTc&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=OtnRaEWQgKZ8PJrLW1HEtw&oh=00_AfPp5woP2SoL-BwMvij63cmcS5M1RRqEVmzTi2kIXiZA0A&oe=68598366']
1261097529057844,"Apple iPhone 13 Pro 256 Gb unlocked N9F9 in Fort Lauderdale, FL",$98,,a day ago,2025-06-19T09:16:44.705393,https://web.facebook.com/marketplace/item/1261097529057844/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508152018_1911374766344214_2027953365172731400_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=jAYKG8jdRgQQ7kNvwEToJaD&_nc_oc=AdnvqHiqBvdqP4H1T2rHkRIwooGlsCEAL_Vpfb9UFPVV3xoui0vA8scgRvEDbdyO5LM&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=BRxzbe-mkKxcP-gv6aBvWg&oh=00_AfN23_7niClfZiliE7r-8ds2dffAaOJGl9o-kjSml4DBjQ&oe=68597E86']
2221597098307681,"Apple iPhone 13 mini 128gb Green All Carriers in Hollywood, FL",$260,,a day ago,2025-06-19T09:16:59.934612,https://web.facebook.com/marketplace/item/2221597098307681/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/489374916_1073280271368711_4888266492783859184_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=QIwdA2zRIL8Q7kNvwEBmijJ&_nc_oc=AdlmEb_ZaTL7elCfAH0fJ1RIkWB-z7iGkz-B0JTLG67G4CllD0C-tPHFCkwPTJ0qgAM&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=3IwihkkJhWngVAaaweSFJA&oh=00_AfNcb-Y72YjKngEmWCORpDY7fyWtYF-4WSpVqT_eGFHJjw&oe=68599CA5']
739606178751761,"Apple iPhone 13 Pro Max 128 GB in Sierra Blue for Unlocked HG6A in Fort Lauderdale, FL",$101,,a day ago,2025-06-19T09:17:07.200468,https://web.facebook.com/marketplace/item/739606178751761/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508454810_628146739535988_1265417981023494264_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=WruiGibx2C8Q7kNvwEg3xoc&_nc_oc=AdmPnRj3sQEHHHhGfR-bGsBCtXrIlibxVteIjfS2OZcx1EjlrJIsP3r6rlgHp2-RA1o&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=SoxI_6Y2sQkTFR7S7IrShQ&oh=00_AfMpFQmsVv96k06mhw0930Z1w2KIRzaKB2TgXWELFXQC-w&oe=6859A6EE']
1131661952133437,"Apple iPhone 13 Pro 128 GB in Graphite for Unlocked HJQ3 in Royal Palm Beach, FL",$102,,a day ago,2025-06-19T09:17:14.374043,https://web.facebook.com/marketplace/item/1131661952133437/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/508823787_691685300500642_3132952061202877370_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=_ONiZxojYRYQ7kNvwFTK8j3&_nc_oc=AdnjItDCrPCeNMCYXaCmXiwBNYxemniG2AJHlkD1Kr0MtdyLGvmUrQDmto1BZvpXQFo&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=DxhpiTo-0uToviq3PVmYMg&oh=00_AfOT5J-ayCYeI_0zQhaDQOQy1QIyW9zwJ0XkwE2FwkpACw&oe=6859A363']
1275723277533534,"Apple iPhone 13 mini 128GB unlocked white Battery health 85 RF5T in Lauderhill, FL",$102,,a day ago,2025-06-19T09:18:15.725475,https://web.facebook.com/marketplace/item/1275723277533534/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/506700138_1186256796519257_3076431554343224846_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=new9VZVxs-wQ7kNvwHa9xjM&_nc_oc=AdkC6oidbCDYURBNZAQ1GLoUW3xjdDKGxgWRRBoD4OvcW7U5GOLaCf6rtkajjigBM_g&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=b8rCq-BU8LoXTch1DonN1Q&oh=00_AfOzLfUa0Sgc9XcI9Qs6DLyZmdXy-arlK1A_N3Uklh4PPw&oe=6859AB92']
1056451739762776,"Apple iPhone 13 E6JD in North Miami, FL",$98,,a day ago,2025-06-19T09:18:22.961802,https://web.facebook.com/marketplace/item/1056451739762776/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/509181524_1082591543747690_1827570106616835540_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=Z0wDDYpLU4MQ7kNvwG-nJwu&_nc_oc=AdlCgs3Ak05ZBTpDwjG7URrwdy8wwSsYTKaapEDijCYSXR8Dmxgf2nFYrr8Xln17HHI&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=DygaAlGl06ZIMoAa3z2edA&oh=00_AfPpUkKCx0b4FnWOy2bAabmRavqsGc0f4psfbkOmGjPYiQ&oe=68598921']
1791966871672676,"iPhone 13 UNLOCKED in Dania Beach, FL",$300,,a day ago,2025-06-19T09:18:30.769410,https://web.facebook.com/marketplace/item/1791966871672676/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508400403_1609219376417342_5401921419395480059_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=GrESSMfuBkIQ7kNvwHI1191&_nc_oc=AdkRNJcAlLhYk2lwpa57LljpiQ2gttc33Hejy7XylTWkPmlBD-j4RgZFHls2YEv_YkM&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=HKxcQeF7B0fikup6JV6aIQ&oh=00_AfPT0ZPpMEZHQf2WObVg-LziPXoU1IP5K0g1DCBW5vuYyw&oe=6859A107']
1770614326853374,"iPhone 13 UNLOCKED in Dania Beach, FL",$300,,a day ago,2025-06-19T09:18:38.588778,https://web.facebook.com/marketplace/item/1770614326853374/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/506702687_1050555006649631_289775853700776409_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=MvDJ--bIqAcQ7kNvwF_zxFb&_nc_oc=AdnSVK6ScaafUDaJla8jscDoXPPqn4hAj3jEAsT-dHtnAywzvOO9s6G18Nnla803X0I&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=ODgJU_-W9XMS_afGBBVDjg&oh=00_AfO6nkpKmObBfKkjCm-tJLr6233oP2s-R6OwsjNLKwbqrw&oe=685992E7']
3982667628638162,"iPhone 13 Pro 128 gb in Miami, FL",$300,,a day ago,2025-06-19T09:18:45.746159,https://web.facebook.com/marketplace/item/3982667628638162/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/506864205_1245194636814201_4573016629376899224_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=-VYDNYD5IWAQ7kNvwGFzW67&_nc_oc=AdnjT-E-lXzaWd6BQneVoEfdRCisdSBqwXtNwILaxUnk6D-cYHlZ5DsHBX0gfycGR84&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=AROTNsOyFMmry9xrsCk5rQ&oh=00_AfNW1QzvLfthZNhtDEw_P1qFLOzdJGzO6fRrS15CkZxEzw&oe=6859AD32']
710460488616149,"iphone13 pro max phone unlocked T5JF in Fort Lauderdale, FL",$98,,a day ago,2025-06-19T09:18:52.662610,https://web.facebook.com/marketplace/item/710460488616149/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/506695690_1934194380685060_2095676473938173226_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=111&ccb=1-7&_nc_sid=247b10&_nc_ohc=ag32Y1jz268Q7kNvwGfEMVQ&_nc_oc=Adl1fI286dz3lYtpN5hJ7DJLFEjNtiWM5M_SAxaKKIl1gP724RzyLK_d_ORoZa5K9cI&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=AazvXPmKOUrSIE-38C5apQ&oh=00_AfNwvxxogdECxfOmsMmCGMFzlLjl9K4r5g04pJi0aV4B5A&oe=6859AB26']
1292346008887822,"Unlocked IPhone 13 Midnight DC1Q in Miami, FL",$102,,a day ago,2025-06-19T09:19:00.277641,https://web.facebook.com/marketplace/item/1292346008887822/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508400503_643793412006962_8762287284637452784_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=wg2BMFao9zQQ7kNvwFwSWPk&_nc_oc=AdlQg6eJIlMO0f2YNu14WjahBOGw_XNLdJDQZdusVnY7RS13AsV_qNsI7wqBZA_DLQw&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=SQheiK1SJ5ZNYFbjZ91nmw&oh=00_AfNfLffMM-F54jtl3TMl6tZBAPH4X-9wJRUOXywNzLtohw&oe=6859834E']
714544598034446,"iPhone 13 Pro Max K8MO in Miami, FL",$102,,a day ago,2025-06-19T09:19:21.119264,https://web.facebook.com/marketplace/item/714544598034446/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508190645_2233493880402772_1134282751544475669_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=tVxfAtr7lvYQ7kNvwF9jjqX&_nc_oc=AdmjgLbluTHdPfurojXXAir_clvACGzFEiO5v3TW_HtReqPfXgSJ_MItzTia-mXekjo&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=3t_hFjFcOCRmPXoITRH9jA&oh=00_AfNFJ6Tbzt1Yy6nOjPF8xs6ST6Bl0WmuIuU5_sc_SQfIow&oe=685999FD']
1229551568268665,"iPhone 13 ( Unlocked) Good Battery 128gb Black Color in Hollywood, FL",$300,,a day ago,2025-06-19T09:19:28.657983,https://web.facebook.com/marketplace/item/1229551568268665/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/507434681_1039802774534150_2852716063201117147_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=HcQX8GAWDz4Q7kNvwEXP_3r&_nc_oc=AdlKmzlmiawBkSDuK3OyBCux5AVA_FnVjR-eD8KGaZpn8pRXQQSS_YYXk_J88HL-Hes&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=beAnMrVN7DcSxIIzEFrucw&oh=00_AfMpBrJtSDOgsU56inpCCxY0qlVYNa5RI17ddLXkqW2zog&oe=68597F38']
